"Part #","Description","Effective From","Multiplication Factor(Part)","USD PRICE","",""
"01125N1011","BOLT","10/3/2015 5:30","1","3.19","",""
"01125N1031","BOLT","4/1/2015 5:30","1","2.46","",""
"01125N1041","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N1051","BOLT-FLG,HEX","1/31/2015 5:30","1","2.07","",""
"01125N1071","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N1081","BOLT","10/3/2015 5:30","1","2.42","",""
"01125N1101","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N1111","BOLT","10/3/2015 5:30","1","2.42","",""
"01125N1131","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N1141","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N1161","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N1191","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N1211","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N2011","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N2021","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N2101","BOLT","10/3/2015 5:30","1","1.63","",""
"01125N2171","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N2711","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N2731","BOLT","1/31/2015 5:30","1","2.07","",""
"01125N6011","BOLT","1/31/2015 5:30","1","1.63","",""
"01125N6021","BOLT-FLG,HEX","1/31/2015 5:30","1","0.69","",""
"01125N6031","BOLT-FLG,HEX.","1/31/2015 5:30","1","1.63","",""
"01125N6041","BOLT","10/3/2015 5:30","1","0.99","",""
"01125N6061","BOLT","11/11/2016 5:30","1","1.50","",""
"01125N6071","BOLT","1/31/2015 5:30","1","1.63","",""
"01125N6121","BOLT","10/3/2015 5:30","1","2.42","",""
"01125N8011","BOLT","10/3/2015 5:30","1","2.42","",""
"01125N8021","BOLT","10/3/2015 5:30","1","0.99","",""
"01125N8031","BOLT","10/3/2015 5:30","1","1.63","",""
"01125N8041","BOLT","1/31/2015 5:30","1","11.61","",""
"01125N8051","BOLT","10/3/2015 5:30","1","0.99","",""
"01125N8061","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N8081","BOLT","1/31/2015 5:30","1","2.42","",""
"01125N8121","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N8141","BOLT","1/31/2015 5:30","1","1.63","",""
"01125N8151","BOLT","1/31/2015 5:30","1","2.29","",""
"01125N8161","BOLT","10/3/2015 5:30","1","1.12","",""
"01125N8171","BOLT","1/31/2015 5:30","1","9.01","",""
"01125S132E","BOLT","10/3/2015 5:30","1","1.67","",""
"01125S617E","BOLT","1/31/2015 5:30","1","0.20","",""
"01125S619E","BOLT","1/31/2015 5:30","1","1.63","",""
"113600221","BOLT-F HD","10/3/2015 5:30","1","0.91","",""
