"Heavy Duty - Price List w.e.f 01/APR/2021","","","","","","",""
"Schaefﬂer Part No","Reference","Description","Application","DIA","USD","",""
"3280429100","L-03028-0PL5-09","Driven Plate","Eicher canter 10.6 / 10.9 mm (RWC-GDY facing)","275","31.30","",""
"1310326100","L-01031-1008-01_AM","Cover Assembly","Eicher 10.75 E ,10.75 H , 10.90 L 10.75 C, 10.75 F Starline / Skyline Bus","310","57.64","",""
"3310386100","L-03031-1061-00_AM","Driven Plate","Eicher 10.75 E ,10.75 H , 10.90 L 10.75 C, 10.75 F Starline / Skyline Bus","310","56.50","",""
"1310297100","L-01H31-0G15-00","Cover Assembly","Eicher Jumbo 20.16 & 11.10/11.12","310","54.68","",""
"3310382100","L-03031-1004-00","Driven Plate","Eicher 330Nm & 400Nm 10.9/ 10.95 XP/ 10.95/ VE1102 11.10 XP/11.10 HD/11.14","310","44.17","",""
"6313195090","","Clutch Set","Eicher Jumbo 20.16 & 11.10, 11.12, 10.9, 10.95 XP, 10.95, VE1102 11.10 XP, 11.10 HD, 11.14 ( CA:1310297100, DP:3310382100)","","93.42","",""
"VE COMMERCIAL VEHICLES LTD","","","","","","",""
"3400090100","L-03H40-0G34-00","Driven Plate","Eicher Pro 6031/6025(6S)","395","107.81","",""
"1400228100","L-01H40-0G19-00","Cover Assembly","Eicher Pro 6031/6025(6)","395","172.97","",""
"1430377100","L-01043-0G23-03","Cover Assembly","Eicher Pro 8049/8031/6025(9S)","430","175.47","",""
"3430263100","L-03043-0G29-01","Driven Plate","Eicher Pro 8049/8031/6025(9S)","430","174.11","",""
"3430286100","L-03043-0G29-02","Driven Plate","Eicher Pro Series - Pro 8049, Pro 8031, Pro 8025 (Tipper) - 2'' Spline ","430","141.17","",""
"VOLVO INDIA LTD","","","","","","",""
"3430202100","343020510","Driven Plate","Volvo B9R Bus_Multiaxle-HD 30 plus facing","430","362.00","",""
"1439310100","143931010","Cover Assembly","Volvo B9R Bus_Multiaxle - Clamped CRB","430","454.73","",""
"AMW MOTORS LTD","","","","","","",""
"3380214100","338021410","Driven Plate","AMW 15""-1.75""spline, Model 2518HL, 2518TP, 2518TM, 3118HL, 4018TR","380","69.67","",""
