Sr. No.,Part,Source,HSNCode,Part Description,Model,USD PRICE
117,2082204,O,87089900,WASHER CUP,ASTRA,0.28
118,2082205,O,87089900,SPRING WASHER 10,ASTRA,0.26
119,2086214,O,87089900,PIN CAMSHAFT GEAR,ASTRA,0.16
120,2086229,O,87089900,DOWEL PIN 8 X 80,ASTRA,0.77
121,2086503,O,87089900,KEY WOODRUFF 5 X 6 5 MM,ASTRA,0.28
122,2088004,O,87089900,BALL 8MM OD,ASTRA,0.14
123,2091032,O,87089900,SEAL RING 8 X 12,ASTRA,0.20
124,2091054,O,87089900,SEAL PLUG 22 2,ASTRA,0.14
125,2091056,O,87089900,SEAL RING SRW 24 X 29 M PROV,ASTRA,0.17
126,2092007,O,87089900,NUT UNION,ASTRA,2.67
127,2092207,O,87089900,INSERT THREADED M8 STAB,ASTRA,3.93
128,2092208,O,87089900,INSERT THREADED M10 X 10,VECTRA,2.77
129,2094012,O,87089900,CLAMP,ASTRA,0.90
130,2094014,O,87089900,CLAMP,ASTRA,1.19
131,2094255,O,87089900,CLAMP HOSE 13 X 9,ASTRA,0.83
132,2094256,O,87089900,CLAMP 1016 VENTILATION FUEL TANK,ASTRA,0.79
133,2094321,O,87089900,CLAMP 25 40 HOSE,ASTRA,0.94
134,2094322,O,87089900,CLAMP HOSE 40 60,ASTRA,0.88
135,2094323,O,87089900,CLAMP HOSE LC 60 80,ASTRA,1.47
136,2094511,O,87089900,CLAMP HOSE 53 0 MM ID,ASTRA,2.31
137,2094930,O,87089900,CLAMP,ASTRA,1.35
138,2094931,O,87089900,CLAMP HOSE 19 0 MM ID,ASTRA,1.43
139,2094932,O,87089900,CLAMP HOSE,ASTRA,2.75
140,2098102,O,87089900,BULB 12V 10W,ASTRA,1.16
141,2098255,O,87089900,BULB 12V 21W YELLOW INDICATOR,ASTRA,1.80
142,2098279,O,87089900,BULB 12V 55W FOG LAMP,ASTRA,5.56
143,2098300,O,87089900,BULB,ASTRA,0.85
144,C90555441,O,87089900,LOWER PART TANK FUEL,ASTRA,29.13
