S. No.,Part No.,Description,USD Price
248,1002812,PAN ASSEMBLY - OIL  ,210.14
249,1002814,GASKET-OIL PAN      ,36.53
250,1002872,WIRE ASSY-FUEL TANK ,5.34
251,1002889,BOX FUSE JUNCTION PA,127.11
252,1002967,COVER COWLSIDE PANEL,0.82
253,1002969,COVER COWLSIDE PANEL,0.82
254,1002979,WEATHER STRIP PAN   ,15.83
255,1002990,BRACKET             ,3.09
256,1003098,BEARING ASYTRANS OU ,29.53
257,1003100,COVER TRANS. CASE   ,9.84
258,1003106,CASE ASY TRANSAXLE-D,251.30
259,1003148,COVER ASY -CTR BODY ,4.01
260,1003149,COVER ASY -CTR BODY ,4.01
261,1003261,Plug                ,9.95
262,1003291,BRACKET ASY- FUEL F ,2.76
263,1003312,DOOR ASSY LUGGAGE CO,439.22
264,1003313,LUG COMP DOOR       ,93.68
265,1003316,CONNECTOR VACUUM HOS,1.84
266,1003428,CABLE ASY-CLUTCH REL,25.18
267,1003504,BEARING ASYTRANS IN ,10.43
268,1003505,BEARING ASYTRANS IN ,15.86
269,1003511,RING-TRANS INNER SYN,15.25
270,1003512,RING TRANS OUTER SYN,19.41
271,1003513,RING TRANS INNER SYN,21.50
272,1003515,SYN ASY TRANS 5TH GE,49.44
273,1003516,HSG ASY TRA/AX INTER,58.46
274,1003520,GASKET-EXH MANF TO E,3.36
275,1003529,RETAINING CLIP      ,0.49
276,1003548,JOINT & SHAFT       ,49.96
277,1003550,JT ASLY-FRTAXLE SHF ,61.48
278,1003552,SYN ASY-TRANS 3RD&4T,48.93
279,1003554,RETAINER-REAR WHEEL ,3.06
280,1003561,SYN ASY TRANS 1ST+2N,19.54
281,1003577,CONE-TRANS SYNCHROME,9.77
282,1003580,CONE-TRANS SYNCHROME,10.68
283,1003588,Switch              ,9.53
284,1003602,SPRING-FRONT        ,16.48
285,1003609,INSULATOR           ,11.03
286,1003610,CLAMP-FRT STAB BAR T,0.87
287,1003644,SPRING-REAR         ,20.02
288,1003652,RING ASLY           ,6.76
289,1003663,BULB                ,3.32
290,1003693,PLUG                ,1.09
291,1003694,PLUG                ,6.11
292,1003708,PLUG-TRIM (FRONT)   ,0.29
293,1003709,PLUG-TRIM (FRONT)   ,0.16
294,1003711,PLUG-TRIM (FRONT)   ,0.16
295,1003713,PLUG-TRIM LH        ,0.29
296,1003714,PLUG-TRIM LH        ,0.16
297,1003715,PLUG-TRIM LH        ,0.16
298,1003717,PLUG-TRIM (REAR)    ,0.16
299,1003719,PLUG-TRIM (REAR)    ,0.16
300,1003720,PLUG-TRIM (REAR)    ,0.29
301,1003721,PLUG-TRIM (FRONT) RH,0.29
302,1003722,PLUG-TRIM (FRONT) RH,0.16
303,1003723,B                   ,0.16
