S. No.,Part No.,Description,USD Price,,
427,4340453100,Kits ,21.00,,
428,4340454100,Kits ,21.47,,
429,4340455100,Kits ,11.07,,
430,6313183090,MDCA Set ,305.04,,
431,3280820100,Driven Plate ,69.35,,
432,3310351100,Driven Plate ,91.80,,
433,3310364100,Driven Plate ,49.34,,
434,3280395100,Driven Plate ,47.90,,
435,1280348100,Cover Assembly ,54.72,,
436,3280530100,Driven Plate ,37.72,,
437,6283283090,DCA Set ,201.37,,
438,2280191100,DCA Assembly ,154.97,,
439,3280584100,Driven Plate ,53.18,,
440,3280590100,Driven Plate ,35.22,,
441,3280587100,Driven Plate ,61.78,,
442,3280693100,Driven Plate ,109.70,,
443,3310309100,Driven Plate ,20.18,,
444,3310310100,Driven Plate ,24.58,,
445,2280242100,DCA Assembly ,127.02,,
446,3280805100,Driven Plate ,34.55,,
447,3280824100,Driven Plate ,36.93,,
448,6283331090,DCA set ,261.53,,
449,2280241100,DCA Assembly ,212.13,,
450,3280822100,Driven Plate ,66.04,,
451,3280823100,Driven Plate ,31.43,,
452,3280676100,Driven Plate ,54.70,,
453,2280246100,DCA Assembly ,216.77,,
454,3280827100,Driven Plate ,82.30,,
455,3280837100,Driven Plate ,73.27,,
456,2280249100,DCA Assembly ,221.30,,
457,3280838100,Driven plate ,75.71,,
458,6313184090,DCA set ,260.09,,
459,2310132100,DCA Assembly ,219.80,,
460,3310379100,Driven Plate ,84.01,,
461,3310380100,Driven Plate ,42.74,,
462,3280550100,Driven Plate ,49.67,,
463,3280542100,Driven Plate ,37.12,,
464,1310283100,Cover Assembly ,55.01,,
465,3280495100,Driven Plate ,17.22,,
466,3280496100,Driven Plate ,16.47,,
467,3280503100,Driven Plate ,16.20,,
468,3280494100,Driven Plate ,17.03,,
469,3250220100,Driven Plate ,14.19,,
470,3310308100,Driven Plate ,29.74,,
471,4340397100,Pressure Plate ,20.73,,
472,1280354100,Cover Assembly ,40.57,,
473,3280605100,Driven Plate ,26.37,,
474,3280678100,Driven Plate ,56.40,,
475,2280221100,DCA Assembly ,217.86,,
476,6151216090,Kits ,16.70,,
477,6151217090,Kits ,17.03,,
478,4341028100,Kits ,25.67,,
479,4341084100,Kits ,30.89,,
480,4340429100,Kits ,9.09,,
481,4340430100,Kits ,7.25,,
482,3280662100,Driven Plate ,71.54,,
483,2310113100,DCA Assembly ,257.95,,
484,3310338100,Driven Plate ,71.16,,
485,3310339100,Driven Plate ,52.12,,
486,3280816100,Driven Plate ,55.03,,
487,3280589100,Driven Plate ,55.58,,
488,2280233100,DCA Assembly ,219.81,,
489,1280305100,Cover Assembly ,51.82,,
490,3280583100,Driven Plate ,27.08,,
491,3280579100,Driven Plate ,52.06,,
492,3280811100,Driven Plate ,55.22,,
493,2280219100,DCA Assembly ,217.92,,
494,3280812100,Driven Plate ,36.80,,
495,3250313100,Driven Plate ,20.42,,
496,3280493100,Driven Plate ,22.35,,
497,3250216100,Driven Plate ,12.96,,
498,3250217100,Driven Plate ,16.38,,
499,3310312100,Driven Plate ,25.26,,
500,1280385100,Cover Assembly ,42.77,,
501,3310158100,Driven Plate ,68.37,,
502,3250221100,Driven Plate ,15.02,,
503,3230667100,Driven Plate ,17.18,,
504,3230666100,Driven Plate ,13.20,,
505,3280670100,Driven Plate ,46.79,,
506,4340459100,Kits ,13.92,,
507,1280314100,Cover Assembly ,36.15,,
508,1280318100,Cover Assembly ,35.40,,
509,4341023100,Kits ,3.81,,
510,4341024100,Kits ,3.71,,
511,4330163100,Kits ,9.39,,
512,4330164100,Kits ,13.46,,
513,4330165100,Kits ,10.92,,
514,4000434100,Tractor clutch alignment tool. ,195.35,,
