S. No.,Part No.,Description,USD Price,
235,3240351100,Driven Plt,36.91,
236,6243418090,Clutch Set,63.37,
237,1240363100,Cover Assembly,33.03,
238,3240367100,Driven Plt,38.60,
239,6243421090,Clutch Set,71.24,
240,1240514100,Cover Assembly,26.30,
241,3240353100,Driven Plt,26.70,
242,6243399090,Clutch Set,48.45,
243,3240837100,Driven Plt,30.06,
244,6243963090,Clutch Set,55.91,
245,3240507100,Driven Plt,24.61,
246,3240360100,Driven Plt,24.79,
247,6243769090,Clutch Set,47.16,
248,3240499100,Driven Plt,27.82,
249,1240384100,Cover Assembly,32.47,
250,3240404100,Driven Plt,46.28,
251,6243767090,Clutch Set,75.49,
252,6244049090,Clutch Set,61.17,
253,6243964330,Rep Set Pro,123.05,
254,1240386100,Cover Assembly,31.17,
255,1240244100,Cover Assembly,28.81,
256,3230648100,Driven Plt,13.74,
257,3240383100,Driven Plt,14.32,
258,3240745100,Driven Plt,19.22,
259,6240350090,Clutch Set,62.82,
260,6243348090,Clutch Set,58.09,
261,6243391000,Rep Set,62.10,
262,6243393000,Rep Set,66.03,
263,6243965330,Rep Set Pro,88.40,
264,1240657100,Cover Assembly,29.04,
265,3240712100,Driven Plt,29.93,
266,6243768090,Clutch Set,54.81,
267,6183066090,Clutch Set,22.62,
268,6183090090,Clutch Set,22.50,
269,6223417090,Clutch Set,35.64,
270,6193087090,Clutch Set,23.74,
271,6223313090,Clutch Set,91.83,
272,6223313330,Repset Pro (CSC 5100090100 D Clip) ,121.73,
273,6223313340,Repset Pro (CSC 5100097100 S Clip) ,120.62,
274,6233233090,Clutch Set,91.65,
275,6233423330,RepSet pro,135.92,
276,6000311000,Repset Pro with DMF,442.73,
277,6233773090,Clucth Set,116.93,
278,6233775090,Clucth Set,119.14,
279,6263139090,Clutch Set,211.67,
280,6263100090,Clutch Set,164.37,
281,6203434090,Clutch Set,39.77,
282,6223451090,Clutch Set,35.79,
283,6193062000,Rep Set,35.99,
284,6203457000,Rep Set,41.99,
285,6223088190,Clutch Set,37.11,
286,1230384100,Cover Assembly,24.44,
287,3230628100,Driven Plt,23.14,
288,6233315090,Clutch Set,47.13,
289,6243935090,Clutch Set,81.51,
290,3240800100,Driven Plt,61.80,
291,1230356100,Cover Assembly,35.69,
292,3230519100,Driven Plt,42.01,
293,1230438100,Cover Assembly,39.80,
294,3230658100,Driven Plt,65.41,
295,3230658100,Driven Plt,65.41,
296,3240400100,Driven Plt,53.02,
297,6243424090,Clutch Set,83.00,
298,3240629100,Driven Plt,20.68,
299,3240658100,Driven Plt,20.68,
300,6263127090,Clutch Set,87.72,
301,3260092100,Driven Plt,58.34,
302,1260079100,Cover Assembly,30.88,
303,1230391100,Cover Assembly,27.50,
304,3230659100,Driven plt,42.95,
305,6233265090,Clutch Set,69.20,
306,6283381090,Clucth Set,107.41,
307,6243143090,Clucth Set,59.09,
308,6244014090,Clutch Set,56.88,
309,6223461090,Clutch Set,62.32,
310,1210056100,Cover Assembly,29.33,
311,3210094100,Driven plt,36.54,
312,6233749090,Clutch Set,78.88,
313,6233749000,Repset,88.15,
314,4000586100,Special Tool ,311.20,
315,4000592100,Special Tool ,411.38,
316,4000595100,Special Tool ,474.37,
317,5300082100,"Timing Belt Kit
No of Belt tooth : 141",106.37,
318,5300197100,"Timing Belt Kit
No of Belt tooth : 123",42.73,
319,5300201100,"Timing Belt Kit
No of Belt tooth : 120",106.87,
320,5300239100,"Timing Belt Kit
No of Belt tooth : 144",46.59,
321,5300550100,"Timing Belt Kit
No of Belt tooth : 160",93.12,
322,5300572100,"Timing Belt Kit
No of Belt tooth : 151",79.67,
323,5300611100,"Timing Belt Kit
No of Belt tooth : 141",55.81,
324,5590197100,Chain drive kit,26.84,
325,5590014100,"Chain drive Kit
(With Sprockets) B8 120 Links",31.69,
326,5590019100,"Chain drive Kit
(Without Sprockets) B8 120 Links",27.42,
327,5590058100,"Chain drive Kit
(Without Sprockets)
B8 104 Links",28.69,
328,5590124100,"Chain drive Kit
(Without Sprockets)
B9 84 Links (Crank-FIP)
B9 76 Links (FIP-CAM)",125.68,
