S. No.,Part No.,Description,USD Price,
151,64.04205-0002,ADJUSTING SCREW M10X1,0.34,
152,64.04301-0001,VALVE TAPPET,4.79,
153,64.04302-0001,PUSH ROD,1.60,
154,64.04401-0001,CAM SHAFT MACHINED,90.81,
155,64.04401-0002,CAM SHAFT BEARING BUSH,1.62,
156,64.04902-0001,VALVE STEM SEAL,1.33,
157,64.05100-6004,ASSY LUB OIL PUMP (D0836),43.59,
158,64.05405-5001,OIL PRESSURE VALVE D02/D08,1.74,
159,64.05410-0002,PISTON FOR PR. RELIEF VALVE,1.22,
160,64.05501-7227,OIL FILTER,9.82,
161,64.05601-0003,OIL COOLER,55.95,
162,64.05601-0195,OIL COOLER ( 70 bar-posh) - 8 plate with,70.90,
163,64.05702-0001,OIL RETURN PIPE,23.62,
164,64.05801-5860,OIL SUMP ASSEMBLY D0836,56.63,
165,64.05823-0001,RUBBER GROMMET,0.31,
166,64.05840-0003,DISTANCE PIECE,0.34,
167,64.05840-0157,HOLDING PIECE  FOR OIL SUMP,2.14,
168,64.05901-0001,GASKET FOR OIL FILTER HEAD,0.42,
169,64.05904-0001,GASKET,16.88,
170,64.06101-6002,RADIATOR,179.59,
171,64.06101-6027,RADIATOR (300HP BSIV)(C3BE5001M00),296.07,
172,64.06102-6005,HEADER TANK W LEVEL SENSOR & PR. CAP,41.90,
173,64.06102-6006,HEADER TANK W LEVEL SENSOR,43.10,
174,64.06111-0001,FILLER CAP FOR EXPANSION TANK,1.56,
175,64.06130-0005,INTERCOOLER ASSY WITH INNERFINS,330.71,
176,64.06130-0008,INTERCOOLER (300 HP E4),346.36,
177,64.06201-0001,RADIATOR GUARD,3.20,
178,64.06201-0002,SHROUD FOR RADIATOR (6 CYL),16.52,
179,64.06225-0003,RUBBER BUFFER (RADIATOR MOUNTING),0.16,
180,64.06302-0005,COOLING WATER MANIFOLD 6 CYL. M/C,86.78,
181,64.06500-4001,ASSY WATER PUMP,85.38,
182,64.06601-0302,VISCOUS FAN DMR 654,88.72,
183,64.06630-0001,VISCOUS FAN CLUTCH,179.28,
184,64.06901-0001,GASKET (WATER PUMP HOUSING),0.49,
185,64.06903-0001,GASKET FOR COOLING WATER MANIFOLD,0.25,
186,64.06904-0001,GASKET THERMOSTAT AFOE2-M3219,0.15,
187,64.08240-0001,CLAMPING RING,1.69,
188,64.08301-0002,AIR FILTER ELEMENT,33.04,
189,64.08301-0003,FILTER ELEMENT,45.28,
190,64.08301-0005,PRIMARY ELEMENT (8200471),76.14,
191,64.08301-0008,"AIR FILTER, PRIMARY (8200745)",66.57,
192,64.08301-0009,"AIR FILTER, SAFETY (8200746)",18.61,
193,64.08301-6017,AIR CLEANER ASSEMBLY (8250419),252.16,
194,64.08301-6021,AIR CLEANER (PLASTIC CAB MTD) - 8X2,142.70,
195,64.08304-0001,SAFETY CATRIDGE FOR AIR FILTER,45.32,
196,64.08304-0002,SAFETY CATRIDGE (8200470),23.86,
197,64.08901-0001,GASKET FOR EXHAUST MANIFOLD,0.42,
198,64.08902-0001,GASKET - INTAKE MANIFOLD,0.24,
199,64.08902-0002,GASKET FOR INTAKE PIPE,0.25,
200,64.09100-7003,TURBOCHARGER,660.19,
201,64.09100-7004,TURBOCHARGER W/O WASTE GATE (CTT),477.44,
202,64.09901-0001,GASKET - TURBO CHARGER,2.87,
203,64.10100-7004,INJECTOR CRIN 2 (0 445 B44 001),332.13,
204,64.10100-7005,"INJECTOR (2V,VE6) FOR 220HP ENGINE",99.44,
205,64.10100-7006,INJECTOR,102.29,
206,64.10100-7007,INJECTOR,93.37,
207,64.10100-7009,INJECTOR (2V VE6) - PH 2,82.68,
208,64.10108-0001,LOCKING BOLT,0.67,
209,64.10303-6005,HIGH PRESSURE PIPES CYL. 1-6 (EURO-II),61.44,
210,64.11103-7001,FIP (VP44),3756.06,
211,64.11103-7008,FUEL INJECTION PUMP VP44 (3-7786),2916.24,
212,64.11103-7009,FIP VE6 (BSIII) & KKSB (0 460 426 518),2149.82,
213,64.11616-7004,ELECTRONIC CONTROL UNIT -EDC,916.65,
214,64.12101-7001,FEED PUMP,202.77,
