S. No.,Part No.,Description,USD Price,
167,406822,Regulator Assy Ford Figo Classic Di ,20.51,
168,406824,Front Bracket MachineFord Figo Petr ,11.77,
169,406825,Rectifier Assy Ford Figo Petrol/New ,23.15,
170,406826,PulleyFord FigoPetrol/Fiesta Petrol ,4.32,
171,406827,Regulator Assy Ford New Fiesta Petr ,20.70,
172,406831,Rotor Assy Maruti Alto YG4 BS4 ,31.66,
173,406832,Front Bracket Machine Alto Bs4 ,7.09,
174,406833,Rectifier Assy Maruti Alto YG4 BS4 ,15.95,
175,406834,Regulator Assy Maruti Alto YG4 BS4 ,19.50,
176,406835,PulleyMaruti Alto YG4 BS4 ,4.04,
177,406836,Stator AssyNissan Micra/Sedan X02A ,37.45,
178,406837,Front Bracket MachineNissan Micra X ,6.65,
179,406838,Rectifier AssyNissan Micra X02A XH ,19.52,
180,406840,PulleyNissan Micra X02A XH5 ,5.21,
181,406841,Front Bracket MachinNissan Sedan ,8.41,
182,406842,Rectifier Assy Nissan Sedan X02B ,20.07,
183,406843,PulleyNissan Sedan X02B ,5.60,
184,406844,PulleyTata Fiat Manza / Vista 1.3L ,19.72,
185,406845,Stator AssyToyata Etois Liva 1.4LDi ,31.07,
186,406846,Rotor Assy Toyata Etois Liva 1.4L D ,40.27,
187,406847,Front Bracket MachineToyata Etois L ,7.33,
188,406848,Rectifier Assy Toyata Etois Liva 1. ,20.53,
189,406849,Regulator AssyToyata Etois Liva 1.4 ,21.14,
190,406850,Pulley Toyota Etois Liva Dsl ,44.45,
191,406851,Rear end Cover i10/i20 Petrol ,2.66,
192,406852,"Rear end Cover Linea, Punto, Vista, Manz ",2.60,
193,406854,"Rear end Cover Ford Figo, Fiesta Dsl ",2.89,
194,406855,Rear end Cover Ford Fiesta Petrol ,3.73,
195,406858,Rear end Cover Maruti Alto Petrol ,2.36,
196,406859,Rear end Cover Nissan Micra ,2.66,
197,406860,Rear end Cover Toyota Etois Liva Diesel ,3.19,
198,406861,Retainer Plate Common for all VS In ,1.11,
199,406862,Retainer Screw Common for all VS In ,0.75,
200,406864,Rear Cover Plastic Maruti Alto 800 ,1.24,
201,406867,pulley Maruti Alto 800 ,4.77,
202,406868,Rectifier Assy Maruti Alto 800 ,18.71,
203,406869,Rotor Rear Bearing for all VS IND Models ,2.23,
204,406871,"Through Bolt Ford Figo,Fiesta/Classic ",0.49,
205,406872,"Through Bolt i20,Alto,Micra,linea,Punto, ",0.49,
206,406873,Through Bolt Maruti Alto 800 ,0.75,
207,406874,"Pulley Nut Ford Fiesta Dsl,Toyota Etois ",0.49,
208,406875,"Pulley Nut Fiat linea, Punto, Maruti Alt ",0.80,
209,406876,"Pulley Nut i10/i20 Kappa, Micra, Sunny D ",0.75,
210,406878,Rotor Hyundai i20 Dsl ,32.57,
211,406880,Pulley Hyundai i20 Dsl ,29.33,
212,406881,Through Bolt Hyundai i20 Dsl ,0.75,
213,406882,Rectifier Hyundai i20 Dsl ,29.41,
214,406883,Regulator Hyundai i20 Dsl-2Pin ,22.37,
215,406884,Rear end Cover Hyundai i20 Diesel ,5.25,
216,406885,Rectifier Hyundai Verna Dsl ,24.40,
217,406886,Regulator Hyundai Verna Dsl- 3Pin ,25.11,
218,406887,Rear end Cover Hyundai Verna ,5.22,
219,406888,Regulator Hyundai i10 O/M-2Pin ,23.55,
220,406890,Statcal Assy Hyundai i20/Verna Diesel ,61.94,
221,406891,Bearing Cap applicable for all VS India ,0.99,
222,406892,Regulator Renault Logan/Duster diesel ,34.02,
223,406893,Stator Assembly Maruti Celerio ,36.22,
224,406894,Rotor Assembly Maruti Celerio ,37.86,
225,406895,Rear bearing Maruti Celerio ,5.21,
226,406897,Front bearing Maruti Celerio ,7.05,
227,406898,Pulley Maruti Celerio ,6.57,
228,406899,Rear Cover Maruti Celerio ,2.78,
229,406900,Rectifier Assembly Maruti Celerio ,21.48,
230,406901,Regulator Assembly Maruti Celerio ,19.91,
231,406902,Regulator Mounting ,0.80,
232,406903,Rotor Assembly Hyundai Grand i10 Kappa ,47.84,
233,406906,Front bearing Hyundai Grand i10 Kappa ,6.24,
234,406907,Pulley Hyundai Grand i10 Kappa ,6.19,
235,406908,Rear Cover Hyundai Grand i10 Kappa ,3.03,
236,406909,Rectifier Assembly Hyundai Grand i10 Kap ,22.92,
237,406910,Regulator Assembly Hyundai Grand i10 Kap ,20.82,
238,406914,Rotor Assembly Datsun GO ,36.41,
239,406916,Pulley Datsun GO ,6.46,
240,406917,Rear Cover Datsun GO ,2.59,
241,406918,Rectifier Assembly Datsun GO ,21.32,
242,406919,Regulator Assembly Datsun GO ,22.14,
243,406921,Stud Bolt Datsun GO ,0.85,
244,406922,Front Bearing Hyundai Verna Diesel ,6.25,
245,406923,"Pulley Renault Logan,Duster 1.5L DCI ",23.34,
246,406924,Stator Assembly Nexon dsl/petrol ,37.39,
247,406925,Rotor Assembly Nexon dsl/petrol ,41.97,
248,406926,Front Bracket Machined nexon dsl ,8.99,
249,406927,Rectifier Assly TATA Nexon Dsl ,21.52,
250,406928,Regulator Assembly nexon dsl/petrol ,17.46,
251,406929,Pulley nexon dsl ,7.23,
252,406930,Front Bracket Machined nexon petrol ,9.88,
253,406931,Rectifier Assly Tata Nexon Petrol ,23.98,
254,406932,Pulley nexon petrol ,32.45,
255,406960,Stator Nissan Micra Sunny Dsl ,25.30,
256,406961,Rotor Nissan Micra Sunny Dsl ,31.82,
257,406962,Rectifier Nissan Micra Sunny Dsl ,19.12,
258,406963,Regulator Nissan Micra Sunny Dsl ,15.44,
259,406964,Pulley Nissan Micra Sunny Dsl ,24.58,
260,406965,Stator Nissan Go Go+ ,24.49,
261,406966,Rotor Nissan Go Go+ ,33.63,
262,406967,Rectifier Nissan Go Go+ ,16.18,
263,406968,Regulator Nissan Go Go+ ,22.56,
264,406969,Pulley Nissan Go Go+ ,5.04,
265,446500,"START NE HYUNDAI i10, i20 ",48.33,
266,446502,"START NE Ford Ecosport,Figo,Fiesta ",57.50,
267,446503,"START NE Ford Ecosport,Figo,Fiesta ",61.69,
268,446505,NEW STARTER SUZUKI SX4/Dezire ,53.35,
269,446506,STR Nissan Versa 1.6 09-11 ,59.68,
270,446507,START NE Nissan Micra ,47.85,
271,446509,STARTER NE VW Golf ,67.98,
272,446510,STARTER NEW VW Polo ,68.12,
273,446511,NEW STARTER SUZUKI Ertiga ,53.47,
274,446512,START NE Nissan Sunny Renault Duster ,74.82,
275,446750,ALTERNATOR HYUNDAI i10/i20 PETROL ,80.76,
276,446753,ALTERNATOR FORD FIGO/FIESTA CLASSIC DSL ,115.06,
277,446754,ALTERNATOR FORD FIGO PETROL ,96.70,
278,446755,ALTERNATOR FORD FIESTA PETROL (08/2000 - ,110.38,
279,446757,"ALTERNATOR FORD FIESTA VI, C MAX II ",155.76,
280,446758,ALTERNATOR MARUTI ALTO LXI (<2010) ,73.41,
281,446759,ALTERNATOR NISSAN MICRA PETROL ,79.11,
282,446760,ALTERNATOR NISSAN SUNNY PETROL ,82.72,
283,446762,ALTERNATOR TOYOTA ETIOS LIVA ,101.74,
284,446763,ALTERNATOR MARUTI ALTO 800 ,83.15,
285,446764,ALTERNATOR HYUNDAI i20 DIESEL ,156.06,
286,446765,ALTERNATOR HYUNDAI VERNA DIESEL ,128.92,
287,406523,Starter Grand i10 Dsl ,149.91,
288,406524,Starter Creta Hyundai/ Elantra ,168.14,
289,432644,Starter for Dodge Sprinter 2004-03 ,168.99,
290,437173,AUDI SG12B025 ALTERNATOR ,337.17,
291,438013,STARTER NEW D7R24 VALEO TATA ,136.17,
292,438076,Starter for Volkswagen Beetle 2006-98 ,145.89,
